Gene Id	Entrenz Id	FC	Replicon	Product	GO
gene8226	14468	-2,546,984,546	NC_000069.6	guanylate binding protein 1	GO:0045087 GO:0002376 GO:0006955 GO:0034341 GO:0006952 GO:0071346 GO:0042832 GO:0006950 GO:0001562 GO:0034097 GO:0051856 GO:0051825 GO:0071345 GO:0035458 GO:0035456 GO:0051702 GO:0051707 GO:0009607 GO:0050896 GO:0050830 GO:0005488 GO:0033655 GO:0030430 GO:0020003 GO:0033646 GO:0043656 GO:0043245 GO:0044216 GO:0033643 GO:0018995 GO:0044217 GO:0044215 GO:0043657 GO:0020005 GO:0065010 GO:0043230 GO:0044421 GO:0005737 GO:0031982 GO:0031410 GO:0005576 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene42783	102636161	-2,537,001,083	NC_000085.6	lncRNA	
gene26259	102637835	-2,311,402,511	NC_000076.6	lncRNA	
gene14371	75593	-262,992,761	NC_000072.6	RIKEN cDNA 2410003K15 gene	GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene8222	229898	-3,346,836,079	NC_000069.6	guanylate binding protein 5	GO:0045087 GO:0002376 GO:0006955 GO:0034341 GO:0006952 GO:0071346 GO:0006950 GO:0034097 GO:0071345 GO:0050896 GO:0016787 GO:0016817 GO:0016462 GO:0016818 GO:0005488 GO:0005737 GO:0031982 GO:0031410 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene7248	108168879	-1,708,072,777	NC_000069.6	lncRNA	
gene1046	101055758	-315,637,048	NC_000067.6	protein_coding	
gene36440	74281	-1,728,701,518	NC_000081.6	spermatogenesis and centriole associated 1	GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene24005	108167681	-1,598,350,191	NC_000075.6	lncRNA	
gene36677	14375	-1,239,786,172	NC_000081.6	X-ray repair complementing defective repair in Chinese hamster cells 6	GO:0002376 GO:0006950 GO:0050896 GO:0016787 GO:0016817 GO:0005515 GO:0016462 GO:0016818 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene1563	18703	-2,456,339,409	NC_000067.6	polymeric immunoglobulin receptor	GO:0005515 GO:0005488 GO:0005737 GO:0031982 GO:0031410 GO:0005576 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene17830	638411	-2,468,556,042	NC_000073.6	misc_RNA	
gene36639	106059	-3,024,165,911	NC_000081.6	lncRNA	
gene971	102636764	-1,411,729,834	NC_000067.6	lncRNA	
gene41454	240328	-6,421,586,172	NC_000084.6	protein_coding	
gene7468	13040	-3,022,078,673	NC_000069.6	cathepsin S	GO:0016787 GO:0000323 GO:0005764 GO:0009986 GO:0005773 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene10129	102634646	-2,508,147,092	NC_000070.6	lncRNA	
gene10647	108168984	-1,552,541,677	NC_000070.6	lncRNA	
gene13193	70103	-196,277,537	NC_000071.6	zinc finger, HIT domain containing 1	GO:0005488 
gene39614	14962	-1,926,379,305	NC_000083.6	complement factor B	GO:0045087 GO:0002376 GO:0006955 GO:0006952 GO:0006950 GO:0002252 GO:0002682 GO:0050776 GO:0002684 GO:0050778 GO:0048583 GO:0006959 GO:0050896 GO:0006956 GO:0016787 GO:0044421 GO:0044421 GO:0044421 GO:0042613 GO:0042613 GO:0042613 GO:0005576 GO:0005576 GO:0005576 GO:0005770 GO:0005770 GO:0005770 
gene9012	108168940	-2,584,072,731	NC_000070.6	lncRNA	
gene12532	102637535	-2,623,341,741	NC_000071.6	lncRNA	
gene26180	105245292	-1,883,271,906	NC_000076.6	lncRNA	
gene25630	102633159	-1,407,775,589	NC_000076.6	lncRNA	
gene18277	102636350	-1,341,537,966	NC_000073.6	lncRNA	
gene22059	57247	-2,003,524,525	NC_000074.6	zinc finger protein (C2H2 type) 276	GO:0005488 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene40220	100169874	-2,262,080,767	NC_000083.6	lncRNA	
gene41946	319314	-1,782,317,997	NC_000085.6	lncRNA	
gene16036	105244881	-1,847,224,431	NC_000072.6	lncRNA	
gene31121	102632372	-3,575,966,765	NC_000078.6	lncRNA	
gene42218	269060	-364,759,607	NC_000085.6	diacylglycerol lipase, alpha	GO:0016787 GO:0005488 GO:0044464 GO:0005623 
gene24536	18390	-1,369,886,085	NC_000076.6	opioid receptor, mu 1	GO:0006950 GO:0048583 GO:0050896 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 
gene27436	54396	-4,030,173,702	NC_000077.6	immunity-related GTPase family M member 2	GO:0045087 GO:0002376 GO:0006955 GO:0034341 GO:0006952 GO:0042832 GO:0006950 GO:0001562 GO:0034097 GO:0051707 GO:0009607 GO:0050896 GO:0016787 GO:0016817 GO:0016462 GO:0016818 GO:0033655 GO:0030430 GO:0020003 GO:0033646 GO:0043656 GO:0043245 GO:0044216 GO:0033643 GO:0018995 GO:0044217 GO:0044215 GO:0043657 GO:0065010 GO:0043230 GO:0044421 GO:0005737 GO:0005576 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene11669	59056	-2,099,637,306	NC_000071.6	Ellis van Creveld gene syndrome	GO:0048583 GO:0050896 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene18634	13032	-2,513,486,763	NC_000073.6	cathepsin C	GO:0002376 GO:0006955 GO:0002252 GO:0002449 GO:0002443 GO:0002460 GO:0002250 GO:0050896 GO:0016787 GO:0005515 GO:0005488 GO:0000323 GO:0005764 GO:0005773 GO:0005737 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene18537	69579	-152,926,678	NC_000073.6	protein_coding	
gene41897	102640806	-1,312,665,772	NC_000085.6	protein_coding	
gene10493	12262	-5,885,734,636	NC_000070.6	complement component 1, q subcomponent, C chain	GO:0045087 GO:0002376 GO:0006955 GO:0006952 GO:0006950 GO:0002252 GO:0002682 GO:0002449 GO:0002443 GO:0002460 GO:0002250 GO:0050776 GO:0002684 GO:0002455 GO:0050778 GO:0048583 GO:0006959 GO:0050896 GO:0006956 GO:0044421 GO:0005576 
gene418	425051	-443,787,791	NC_000067.6	lncRNA	
gene9017	102634210	-3,309,649,283	NC_000070.6	lncRNA	
gene25682	18717	-3,210,588,587	NC_000076.6	phosphatidylinositol-4-phosphate 5-kinase, type 1 gamma	GO:0050896 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 
gene33942	11744	-5,115,931,537	NC_000080.6	annexin A11	GO:0050896 GO:0005515 GO:0005488 GO:0000323 GO:0005764 GO:0005773 GO:0005737 GO:0031982 GO:0031410 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene39434	102631757	-5,232,723,286	NC_000083.6	lncRNA	
gene41453	108168394	-5,822,445,502	NC_000084.6	lncRNA	
gene39577	100504404	-3,775,009,921	NC_000083.6	protein_coding	
gene30773	51786	-1,904,366,345	NC_000078.6	cleavage and polyadenylation specific factor 2	GO:0016787 GO:0005488 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene14486	69938	-1,244,413,627	NC_000072.6	secernin 1	GO:0016787 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene24278	102632089	-1,667,937,146	NC_000075.6	lncRNA	
gene36567	100038602	-1,176,699,088	NC_000081.6	lncRNA	
gene8142	319587	-151,732,948	NC_000069.6	lncRNA	
gene30760	319760	-1,630,705,498	NC_000078.6	lncRNA	
gene29559	70858	-1,151,264,722	NC_000078.6	lncRNA	
gene40099	100503190	-5,958,844,219	NC_000083.6	lncRNA	
gene43643	105247279	-1,120,617,441	NC_000086.7	lncRNA	
gene8227	14469	-3,291,856,155	NC_000069.6	guanylate binding protein 2	GO:0045087 GO:0002376 GO:0006955 GO:0034341 GO:0006952 GO:0071346 GO:0042832 GO:0006950 GO:0001562 GO:0034097 GO:0051856 GO:0051825 GO:0071345 GO:0035458 GO:0035456 GO:0051702 GO:0051707 GO:0009607 GO:0050896 GO:0050830 GO:0016787 GO:0016817 GO:0016462 GO:0016818 GO:0005488 GO:0033655 GO:0030430 GO:0020003 GO:0033646 GO:0043656 GO:0043245 GO:0044216 GO:0033643 GO:0018995 GO:0044217 GO:0044215 GO:0043657 GO:0020005 GO:0065010 GO:0043230 GO:0044421 GO:0005737 GO:0031982 GO:0031410 GO:0005576 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene15846	105242784	-2,606,717,792	NC_000072.6	lncRNA	
gene20847	100502619	-2,824,169,165	NC_000074.6	lncRNA	
gene35648	110821	-1,581,834,376	NC_000080.6	propionyl-Coenzyme A carboxylase, alpha polypeptide	GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene39946	15516	-1,538,570,725	NC_000083.6	heat shock protein 90 alpha (cytosolic), class B member 1	GO:0006950 GO:0034097 GO:0071345 GO:0050896 GO:0005515 GO:0005488 GO:0009986 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene34809	67842	-1,765,925,525	NC_000080.6	RIKEN cDNA 2610027L16 gene	GO:0005488 
gene7214	17827	-1,337,972,463	NC_000069.6	metaxin 1	GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene9729	230584	-1,423,744,695	NC_000070.6	Yip1 domain family, member 1	GO:0005737 GO:0031982 GO:0031982 GO:0031982 GO:0031410 GO:0031410 GO:0031410 GO:0031410 GO:0031410 GO:0031410 GO:0005576 GO:0005576 GO:0005576 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene26891	72246	-2,252,313,706	NC_000077.6	lncRNA	
gene10928	56226	-1,730,719,188	NC_000070.6	espin	GO:0050896 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene15744	78668	-1,177,535,051	NC_000072.6	lncRNA	
gene16119	665037	-1,793,593,877	NC_000072.6	lncRNA	
gene9293	100504061	-2,204,323,935	NC_000070.6	misc_RNA	
gene10558	102636025	-1,952,224,441	NC_000070.6	lncRNA	
gene45446	17318	-2,284,687,507	NC_000086.7	midline 1	GO:0006950 GO:0048583 GO:0050896 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene39616	12263	-4,304,830,167	NC_000083.6	complement component 2 (within H-2S)	GO:0045087 GO:0002376 GO:0006955 GO:0006952 GO:0006950 GO:0002252 GO:0002682 GO:0002449 GO:0002443 GO:0002460 GO:0002250 GO:0050776 GO:0002684 GO:0002455 GO:0002455 GO:0002455 GO:0019883 GO:0019883 GO:0019883 GO:0050778 GO:0048583 GO:0006959 GO:0050896 GO:0006956 GO:0006956 GO:0006956 GO:0050830 GO:0050830 GO:0050830 GO:0016787 GO:0005576 
gene10227	230761	-3,075,029,004	NC_000070.6	protein_coding	
gene30397	105244940	-2,203,841,819	NC_000078.6	lncRNA	
gene17884	102633121	-1,537,517,197	NC_000073.6	lncRNA	
gene28922	102638207	-1,639,119,185	NC_000077.6	lncRNA	
gene2227	226652	-2,812,147,401	NC_000067.6	Rho GTPase activating protein 30	GO:0050896 GO:0005737 GO:0031982 GO:0031410 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene40300	106585	-1,451,036,226	NC_000083.6	ankyrin repeat domain 12	GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene39476	105246261	-2,176,653,275	NC_000083.6	lncRNA	
gene13243	381678	-1,483,040,444	NC_000071.6	zinc finger, CW type with PWWP domain 1	GO:0005488 
gene37555	94112	-1,366,643,729	NC_000082.6	mediator complex subunit 15	GO:0005737 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene20187	100504249	-1,604,748,942	NC_000074.6	lncRNA	
gene18279	108167435	-1,665,614,092	NC_000073.6	lncRNA	
gene26486	108167764	-1,550,256,214	NC_000076.6	lncRNA	
gene27142	320116	-2,763,198,318	NC_000077.6	protein_coding	
gene15692	50908	-4,708,571,932	NC_000072.6	complement component 1, s subcomponent	GO:0045087 GO:0002376 GO:0006955 GO:0006952 GO:0006950 GO:0002252 GO:0002682 GO:0002449 GO:0002443 GO:0002460 GO:0002250 GO:0050776 GO:0002684 GO:0002455 GO:0050778 GO:0048583 GO:0006959 GO:0050896 GO:0006956 GO:0016787 GO:0005488 GO:0005576 
gene1929	208263	-1,694,016,446	NC_000067.6	torsin A interacting protein 1	GO:0005515 GO:0005488 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene7104	80877	-1,129,594,629	NC_000069.6	LPS-responsive beige-like anchor	GO:0050896 GO:0005515 GO:0005488 GO:0000323 GO:0005764 GO:0005773 GO:0005737 GO:0031982 GO:0031410 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene1559	102640440	-1,351,727,764	NC_000067.6	lncRNA	
gene39548	14972	-2,090,806,062	NC_000083.6	histocompatibility 2, K1, K region	GO:0002376 GO:0006955 GO:0006952 GO:0006950 GO:0019882 GO:0048002 GO:0002252 GO:0002682 GO:0002449 GO:0002443 GO:0002460 GO:0002250 GO:0050776 GO:0002684 GO:0002483 GO:0002483 GO:0002483 GO:0002455 GO:0002455 GO:0002455 GO:0019883 GO:0019883 GO:0019883 GO:0002474 GO:0002474 GO:0002474 GO:0002474 GO:0002474 GO:0002474 GO:0051707 GO:0051707 GO:0051707 GO:0051707 GO:0002478 GO:0050778 GO:0048583 GO:0009607 GO:0019884 GO:0050896 GO:0042605 GO:0033218 GO:0042277 GO:0003823 GO:0005488 GO:0042611 GO:0009897 GO:0009986 GO:0044464 GO:0042612 GO:0042612 GO:0042612 GO:0005623 GO:0005623 GO:0005623 GO:0005623 
gene11327	625174	-2,357,517,783	NC_000071.6	pseudogene	
gene19513	105243055	-1,087,675,403	NC_000073.6	lncRNA	
gene18295	67867	-2,227,345,533	NC_000073.6	protein_coding	
gene12955	208628	-536,587,641	NC_000071.6	kinetochore associated 1	GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene37956	15163	-5,385,030,386	NC_000082.6	hematopoietic cell specific Lyn substrate 1	GO:0002376 GO:0048583 GO:0050896 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene27147	66213	-5,356,322,463	NC_000077.6	mediator complex subunit 7	GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene39721	15040	-2,631,125,201	NC_000083.6	histocompatibility 2, T region locus 23	GO:0002376 GO:0006955 GO:0019882 GO:0048002 GO:0002252 GO:0002682 GO:0002449 GO:0002443 GO:0002460 GO:0002250 GO:0050776 GO:0002684 GO:0002483 GO:0019883 GO:0002474 GO:0050778 GO:0048583 GO:0050896 GO:0042611 GO:0044464 GO:0042612 GO:0005623 
gene25598	108167824	-1,557,334,641	NC_000076.6	lncRNA	
gene44178	27061	-1,489,625,175	NC_000086.7	B cell receptor associated protein 31	GO:0002376 GO:0006955 GO:0048583 GO:0050896 GO:0005737 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene15662	56619	-5,744,446,753	NC_000072.6	C-type lectin domain family 4, member e	GO:0002376 GO:0006955 GO:0050896 GO:0005515 GO:0005488 
gene27435	16145	-3,449,219,005	NC_000077.6	interferon gamma induced GTPase	GO:0034097 GO:0071345 GO:0035458 GO:0035456 GO:0050896 GO:0016787 GO:0016817 GO:0016462 GO:0016818 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 
gene36573	100042603	-3,522,309,541	NC_000081.6	lncRNA	
gene21896	66531	-1,536,169,061	NC_000074.6	RIKEN cDNA 2310061C15 gene	GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene24110	84585	-1,278,425,375	NC_000075.6	ring finger protein 123	GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 
gene31083	74691	-2,153,399,366	NC_000078.6	tudor domain containing 9	GO:0016787 GO:0016817 GO:0005515 GO:0016462 GO:0016818 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene20662	102640745	-5,286,095,143	NC_000074.6	lncRNA	
gene17876	233204	-3,015,664,619	NC_000073.6	TBC1 domain family, member 17	GO:0048583 GO:0050896 GO:0044464 GO:0005623 GO:0005622 
gene30922	70059	-1,177,684,593	NC_000078.6	degenerative spermatocyte homolog 2 (Drosophila), lipid desaturase	GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene23378	235435	-1,891,713,159	NC_000075.6	lactase-like	GO:0016787 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene39677	110557	-4,587,183,243	NC_000083.6	protein_coding	
gene22015	192156	-1,702,850,483	NC_000074.6	mevalonate (diphospho) decarboxylase	GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene11048	74183	-2,242,949,688	NC_000070.6	protein_coding	
gene25439	67523	-1,262,918,006	NC_000076.6	lncRNA	
gene31410	13411	-1,519,224,666	NC_000078.6	dynein, axonemal, heavy chain 11	GO:0016787 GO:0016817 GO:0016462 GO:0016818 GO:0005488 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene39415	68597	-0.990141643	NC_000083.6	protein_coding	
gene39807	258508	-2,784,471,742	NC_000083.6	olfactory receptor 99	GO:0050896 
gene35003	13030	-2,193,063,029	NC_000080.6	cathepsin B	GO:0016787 GO:0033218 GO:0042277 GO:0005515 GO:0005488 GO:0009897 GO:0044421 GO:0000323 GO:0005764 GO:0009986 GO:0005773 GO:0005737 GO:0005576 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene31490	102639406	-2,746,449,188	NC_000079.6	lncRNA	
gene12688	231637	-263,874,939	NC_000071.6	slingshot homolog 1 (Drosophila)	GO:0050896 GO:0016787 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene20195	14058	-5,323,679,026	NC_000074.6	coagulation factor X	GO:0006950 GO:0048583 GO:0050896 GO:0016787 GO:0005488 GO:0005576 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene22986	408059	-1,588,242,738	NC_000075.6	protein_coding	
gene24475	23832	-2,452,025,796	NC_000075.6	chemokine (C motif) receptor 1	GO:0034097 GO:0071345 GO:0050896 GO:0044464 GO:0005623 
gene11761	209707	-2,275,320,023	NC_000071.6	ligand dependent nuclear receptor corepressor-like	GO:0005488 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene43259	105243648	-112,809,915	NC_000086.7	lncRNA	
gene16631	637908	-1,256,078,601	NC_000073.6	vomeronasal 2, receptor 53	GO:0050896 GO:0044464 GO:0005623 
gene306	108167617	-153,590,088	NC_000067.6	lncRNA	
gene34735	17387	-342,834,843	NC_000080.6	matrix metallopeptidase 14 (membrane-inserted)	GO:0050896 GO:0016787 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 
gene36050	102636333	-2,427,804,389	NC_000081.6	lncRNA	
gene22012	76014	-1,661,494,374	NC_000074.6	zinc finger CCCH-type containing 18	GO:0005488 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene73	73331	-1,561,439,578	NC_000067.6	lncRNA	
gene22856	73558	-2,350,352,986	NC_000075.6	lncRNA	
gene14040	102636794	-238,798,638	NC_000072.6	lncRNA	
gene36376	57248	-5,484,260,543	NC_000081.6	lymphocyte antigen 6 complex, locus I	GO:0044464 GO:0005623 
gene19799	212111	-1,160,952,555	NC_000073.6	inositol polyphosphate-5-phosphatase A	GO:0016787 GO:0005515 GO:0005488 
gene25185	19156	-16,928,069	NC_000076.6	prosaposin	GO:0048583 GO:0050896 GO:0044421 GO:0000323 GO:0005764 GO:0005773 GO:0005737 GO:0005576 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene39567	16912	-3,403,537,244	NC_000083.6	proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2)	GO:0002376 GO:0019882 GO:0016787 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene23498	105243448	-1,610,118,331	NC_000075.6	lncRNA	
gene32077	102639897	-2,950,790,004	NC_000079.6	lncRNA	
gene15867	56644	-2,265,487,244	NC_000072.6	C-type lectin domain family 7, member a	GO:0045087 GO:0002376 GO:0006955 GO:0006952 GO:0006950 GO:0002252 GO:0002682 GO:0050776 GO:0002684 GO:0051707 GO:0050778 GO:0048583 GO:0009607 GO:0050896 GO:0005515 GO:0005488 GO:0009897 GO:0009986 GO:0044464 GO:0005623 
gene42587	67759	-299,940,872	NC_000085.6	RIKEN cDNA 5033414D02 gene	GO:0006952 GO:0006950 GO:0050896 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene36519	102640206	-5,426,323,024	NC_000081.6	lncRNA	
gene11379	269633	-0.94573903	NC_000071.6	protein_coding	
gene18504	29877	-0.997701922	NC_000073.6	hepatoma-derived growth factor, related protein 3	GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene35004	14137	-1,063,012,076	NC_000080.6	farnesyl diphosphate farnesyl transferase 1	GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene32972	12380	-120,525,287	NC_000079.6	calpastatin	GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene33884	319486	-1,220,342,009	NC_000080.6	misc_RNA	
gene8224	55932	-310,189,205	NC_000069.6	guanylate binding protein 3	GO:0045087 GO:0002376 GO:0006955 GO:0034341 GO:0006952 GO:0071346 GO:0042832 GO:0006950 GO:0001562 GO:0034097 GO:0051856 GO:0051856 GO:0051856 GO:0048002 GO:0048002 GO:0048002 GO:0051825 GO:0051825 GO:0051825 GO:0071345 GO:0071345 GO:0071345 GO:0071345 GO:0035458 GO:0035458 GO:0035458 GO:0002443 GO:0002443 GO:0002443 GO:0035456 GO:0035456 GO:0035456 GO:0051702 GO:0051702 GO:0051702 GO:0051702 GO:0051702 GO:0051702 GO:0002250 GO:0002250 GO:0002250 GO:0051707 GO:0009607 GO:0050896 GO:0050830 GO:0050830 GO:0050830 GO:0042605 GO:0042605 GO:0042605 GO:0016787 GO:0016817 GO:0016462 GO:0016818 GO:0005488 GO:0033655 GO:0030430 GO:0020003 GO:0033646 GO:0043656 GO:0043245 GO:0044216 GO:0033643 GO:0018995 GO:0044217 GO:0044215 GO:0043657 GO:0020005 GO:0020005 GO:0020005 GO:0065010 GO:0065010 GO:0065010 GO:0065010 GO:0043230 GO:0044421 GO:0005737 GO:0031982 GO:0031410 GO:0005576 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene39574	14960	-2,556,222,472	NC_000083.6	histocompatibility 2, class II antigen A, alpha	GO:0045087 GO:0002376 GO:0006955 GO:0034341 GO:0006952 GO:0006950 GO:0019882 GO:0034097 GO:0048002 GO:0002682 GO:0002684 GO:0002478 GO:0002478 GO:0002478 GO:0050778 GO:0050778 GO:0050778 GO:0019884 GO:0019884 GO:0019884 GO:0050896 GO:0050896 GO:0050896 GO:0050896 GO:0042605 GO:0042605 GO:0042605 GO:0016787 GO:0016787 GO:0016787 GO:0033218 GO:0042277 GO:0003823 GO:0003823 GO:0003823 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005488 GO:0042611 GO:0042611 GO:0042611 GO:0009897 GO:0009897 GO:0009897 GO:0009897 GO:0042613 GO:0042613 GO:0042613 GO:0000323 GO:0000323 GO:0000323 GO:0000323 GO:0005764 GO:0009986 GO:0005773 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene32075	102640002	-15,771,998	NC_000079.6	lncRNA	
gene8538	72656	-1,570,268,393	NC_000070.6	integrator complex subunit 8	GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene24607	15273	-1,934,361,318	NC_000076.6	human immunodeficiency virus type I enhancer binding protein 2	GO:0050896 GO:0005488 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene34658	102632118	-1,645,155,018	NC_000080.6	lncRNA	
gene13775	108167381	-0.99142662	NC_000072.6	lncRNA	
gene15578	22419	-0.926327331	NC_000072.6	wingless-related MMTV integration site 5B	GO:0048583 GO:0050896 GO:0005515 GO:0005488 GO:0044421 GO:0009986 GO:0005576 GO:0044464 GO:0005623 
gene29387	111241	-329,011,566	NC_000077.6	protein_coding	
gene10165	102635619	-2,642,296,526	NC_000070.6	lncRNA	
gene28343	74038	-0.96153955	NC_000077.6	lncRNA	
gene27185	15944	-3,803,826,275	NC_000077.6	immunity-related GTPase family M member 1	GO:0045087 GO:0002376 GO:0006955 GO:0006952 GO:0006950 GO:0050896 GO:0016787 GO:0016817 GO:0005488 GO:0000323 GO:0005764 GO:0005773 GO:0005737 GO:0031982 GO:0031410 GO:0005770 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene2272	71870	-1,275,471,356	NC_000067.6	protein_coding	
gene37947	12524	-3,132,964,044	NC_000082.6	CD86 antigen	GO:0045087 GO:0002376 GO:0006955 GO:0006955 GO:0006955 GO:0034341 GO:0034341 GO:0034341 GO:0006952 GO:0006952 GO:0006952 GO:0071346 GO:0071346 GO:0071346 GO:0006950 GO:0002252 GO:0002252 GO:0002252 GO:0002682 GO:0002682 GO:0002682 GO:0002682 GO:0050776 GO:0050776 GO:0050776 GO:0002684 GO:0002684 GO:0002684 GO:0002684 GO:0051707 GO:0051707 GO:0051707 GO:0002478 GO:0002478 GO:0002478 GO:0050778 GO:0048583 GO:0009607 GO:0009607 GO:0009607 GO:0019884 GO:0019884 GO:0019884 GO:0050896 GO:0005515 GO:0005488 GO:0009897 GO:0009986 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene32461	105245508	-2,466,998,916	NC_000079.6	lncRNA	
gene30798	65256	-3,901,019,341	NC_000078.6	ankyrin repeat and SOCS box-containing 2	GO:0050896 
gene43137	105246616	-1,616,735,589	NC_000085.6	lncRNA	
